name,xml_name,cas,smiles
Amidosulfuron,Amidosulfuron  (R)(A),120923-37-7,CN(S(=O)(=O)C)S(=O)(=O)NC(=O)NC1=NC(=CC(=N1)OC)OC
Aminopyralid,"Aminopyralid (sum of aminopyralid, its salts and its conjugates, expressed as aminopyralid) (R)",150114-71-9,C1=C(C(=C(N=C1Cl)C(=O)O)Cl)N
Amisulbrom,Amisulbrom,348635-87-0,CC1=C(C2=C(N1S(=O)(=O)C3=NN(C=N3)S(=O)(=O)N(C)C)C=C(C=C2)F)Br
Amitraz,"Amitraz (amitraz including the metabolites containing the 2,4 -dimethylaniline moiety expressed as amitraz)",33089-61-1,CC1=CC(=C(C=C1)N=CN(C)C=NC2=C(C=C(C=C2)C)C)C
Amitrole,Amitrole,,C1=NNC(=N1)N
Ammonium Acetate,Ammonium acetate  (++),631-61-8,CC(=O)[O-].[NH4+]
Ampelomyces quisqualis strain AQ10,Ampelomyces quisqualis strain AQ10,No CAS allocated,
Anilazine,Anilazine,101-05-3,C1=CC=C(C(=C1)NC2=NC(=NC(=N2)Cl)Cl)Cl
Anthraquinone,Anthraquinone  (F),84-65-1,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O
Aqueous extract from the germinated seeds of sweet Lupinus albus,Aqueous extract from the germinated seeds of sweet Lupinus albus,No CAS allocated,
Aramite,Aramite  (F),140-57-8,CC(COC1=CC=C(C=C1)C(C)(C)C)OS(=O)OCCCl
Asulam,Asulam,3337-71-1,COC(=O)NS(=O)(=O)C1=CC=C(C=C1)N
Atrazine,Atrazine  (F),1912-24-9,CCNC1=NC(=NC(=N1)Cl)NC(C)C
Aureobasidium pullulans strains DSM 14940 and DSM 14941,Aureobasidium pullulans strains DSM 14940 and DSM 14941,,
Azadirachtin,Azadirachtin,,C/C=C(\C)/C(=O)O[C@H]1C[C@H]([C@]2(CO[C@@H]3[C@@H]2[C@]14CO[C@@]([C@H]4[C@]([C@@H]3O)(C)[C@@]56[C@@H]7C[C@H]([C@@]5(O6)C)[C@]8(C=CO[C@H]8O7)O)(C(=O)OC)O)C(=O)OC)OC(=O)C
Azimsulfuron,Azimsulfuron,120162-55-2,CN1C(=C(C=N1)C2=NN(N=N2)C)S(=O)(=O)NC(=O)NC3=NC(=CC(=N3)OC)OC
Azinphos-ethyl,Azinphos-ethyl  (F),,CCOP(=S)(OCC)SCN1C(=O)C2=CC=CC=C2N=N1
Azinphos-methyl,Azinphos-methyl  (F),86-50-0,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1
Azocyclotin and Cyhexatin,Azocyclotin and Cyhexatin (sum of azocyclotin and cyhexatin expressed as cyhexatin),,
Azoxystrobin,Azoxystrobin,131860-33-8,CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)OC
Bacillus amyloliquefaciens (formerly subtilis) str. QST 713,Bacillus amyloliquefaciens (formerly subtilis) str. QST 713,No CAS allocated,
Bacillus amyloliquefaciens AH2,Bacillus amyloliquefaciens AH2,No CAS allocated,
Bacillus amyloliquefaciens strain FZB24,Bacillus amyloliquefaciens strain FZB24,No CAS allocated,
Bacillus amyloliquefaciens strain IT-45,Bacillus amyloliquefaciens strain IT-45,,
Bacillus amyloliquefaciens strain MBI 600,Bacillus amyloliquefaciens strain MBI 600,No CAS allocated,
Bacillus amyloliquefaciens subsp. plantarum strain D747,Bacillus amyloliquefaciens subsp. plantarum strain D747,,
Bacillus firmus I-1582,Bacillus firmus I-1582,,
Bacillus pumilus QST 2808,Bacillus pumilus QST 2808,,
Bacillus subtilis strain IAB/BS03,Bacillus subtilis strain IAB/BS03,No CAS allocated,
Barban,Barban  (F),101-27-9,C1=CC(=CC(=C1)Cl)NC(=O)OCC#CCCl
Beauveria bassiana PPRI 5339,Beauveria bassiana PPRI 5339,,
Beauveria bassiana strain ATCC 74040,Beauveria bassiana strain ATCC 74040,No CAS allocated,
Beauveria bassiana strain GHA,Beauveria bassiana strain GHA,No CAS allocated,
Beer,Beer,No CAS allocated,
Beflubutamid,Beflubutamid,113614-08-7,CCC(C(=O)NCC1=CC=CC=C1)OC2=CC(=C(C=C2)F)C(F)(F)F
Benalaxyl including other mixtures of constituent isomers including benalaxyl-M,Benalaxyl including other mixtures of constituent isomers including benalaxyl-M (sum of isomers),,
Benfluralin,Benfluralin  (F),1861-40-1,CCCCN(CC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
Bensulfuron-methyl,Bensulfuron-methyl,,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)CC2=CC=CC=C2C(=O)OC)OC
"Bentazone (Sum of bentazone, its salts and 6-hydroxy (free and conjugated) and 8-hydroxy bentazone (free and conjugated), expressed as bentazone)","Bentazone (Sum of bentazone, its salts and 6-hydroxy (free and conjugated) and 8-hydroxy bentazone (free and conjugated), expressed as bentazone) (R)",,
"Benthiavalicarb (Benthiavalicarb-isopropyl(KIF-230 R-L) and its enantiomer (KIF-230 S-D) and its diastereomers(KIF-230 S-L and KIF-230 R-D), expressed as benthiavalicarb-isopropyl)","Benthiavalicarb (Benthiavalicarb-isopropyl(KIF-230 R-L) and its enantiomer (KIF-230 S-D) and its diastereomers(KIF-230 S-L and KIF-230 R-D), expressed as benthiavalicarb-isopropyl) (A)",,
Benzalkonium chloride,"Benzalkonium chloride (mixture of alkylbenzyldimethylammonium chlorides with alkyl chain lengths of C8, C10, C12, C14, C16 and C18)",8001-54-5,CCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-]
